PaymentID,OrderID,PaymentMethod,Amount,PaymentDate
261,506,Bank Transfer,191.16,2025-05-31
262,508,Debit Card,1723.47,2024-07-16
263,509,PayPal,5587.65,2025-06-14
264,518,PayPal,157.2,2025-11-15
265,519,PayPal,1864.92,2025-08-13
266,520,Bank Transfer,44.2,2024-07-06
267,521,Bank Transfer,412.92,2025-07-20
268,523,PayPal,314.96,2024-06-16
269,525,Debit Card,84.35,2024-06-28
270,527,PayPal,98.8,2024-01-06
271,530,Credit Card,216.6,2024-03-15
272,532,Debit Card,727.11,2025-03-02
273,534,Bank Transfer,320.1,2024-12-02
274,538,Bank Transfer,807.06,2024-08-11
275,540,Credit Card,284.16,2023-08-22
276,541,PayPal,620.72,2024-04-02
277,542,Credit Card,511.74,2024-09-24
278,544,Credit Card,7210.89,2025-09-11
279,549,Credit Card,948.68,2026-01-13
280,550,Debit Card,1102.36,2025-03-09
281,551,Debit Card,1169.28,2023-11-19
282,552,Credit Card,168.7,2025-06-03
283,553,Credit Card,721.84,2024-05-30
284,561,PayPal,176.8,2025-10-29
285,562,Debit Card,3729.84,2024-07-02
286,565,Debit Card,111.15,2025-10-29
287,566,Bank Transfer,949.08,2025-09-27
288,568,Bank Transfer,237.36,2024-02-11
289,570,PayPal,5608.47,2025-04-17
290,571,PayPal,116.2,2024-12-10
291,574,Bank Transfer,149.65,2024-11-15
292,575,PayPal,801.21,2025-09-19
293,576,Bank Transfer,363.56,2025-06-18
294,581,Credit Card,777.76,2025-12-08
295,585,Credit Card,743.04,2023-08-10
296,589,Bank Transfer,474.02,2025-01-04
297,591,Credit Card,2528.8,2024-02-18
298,592,Debit Card,220.9,2025-06-20
299,594,Bank Transfer,4270.86,2025-05-18
300,596,Debit Card,92.19,2025-12-12
301,597,Credit Card,6409.68,2024-01-16
302,600,Debit Card,242.04,2025-02-18
303,601,Bank Transfer,140.14,2025-02-13
304,607,PayPal,247.95,2023-08-07
305,610,Debit Card,395.1,2025-05-18
306,612,Debit Card,568.32,2024-05-19
307,616,Credit Card,117.6,2024-08-20
308,617,Bank Transfer,2498.16,2025-07-19
309,618,Credit Card,386.82,2024-10-22
310,619,Debit Card,276.6,2025-02-25
311,620,PayPal,170.64,2024-12-23
312,624,PayPal,280.44,2024-08-14
313,625,Credit Card,27.3,2024-07-25
314,626,PayPal,19.08,2026-02-22
315,627,Bank Transfer,723.3,2024-02-01
316,628,Bank Transfer,360.92,2023-12-31
317,630,Debit Card,47.04,2024-04-15
318,631,Credit Card,467.4,2025-04-26
319,633,Bank Transfer,1456.45,2024-11-17
320,640,Credit Card,673.2,2025-05-03
321,641,PayPal,366.84,2023-11-11
322,642,Credit Card,389.76,2025-01-09
323,644,PayPal,1361.08,2024-12-26
324,649,Credit Card,198.36,2023-12-17
325,650,Debit Card,29.4,2024-10-13
326,653,Debit Card,120.86,2024-03-12
327,654,Credit Card,1215.1,2024-07-10
328,656,PayPal,949.08,2024-05-31
329,657,Credit Card,407.6,2024-09-24
330,659,Bank Transfer,585.09,2023-11-18
331,661,Bank Transfer,270.69,2025-08-12
332,662,Debit Card,218.0,2024-01-03
333,664,Debit Card,1093.59,2025-07-13
334,665,PayPal,15.78,2024-12-01
335,669,Credit Card,11674.62,2025-07-05
336,670,Bank Transfer,175.14,2025-03-09
337,671,PayPal,2893.2,2024-06-06
338,672,Bank Transfer,550.56,2023-12-08
339,673,Bank Transfer,111.15,2025-06-02
340,675,PayPal,158.7,2025-07-14
341,679,Debit Card,19457.7,2024-03-24
342,684,Debit Card,1506.32,2024-03-01
343,687,PayPal,7342.7,2024-08-07
344,688,Bank Transfer,91.92,2025-03-24
345,689,Credit Card,467.4,2025-10-08
346,690,Bank Transfer,7744.68,2024-12-26
347,691,PayPal,8880.15,2024-11-11
348,694,Bank Transfer,398.37,2025-02-05
349,699,Bank Transfer,31.93,2025-03-28
350,702,Bank Transfer,2528.8,2025-08-15
351,703,Debit Card,265.2,2024-04-22
352,705,Credit Card,299.3,2023-10-19
353,706,Debit Card,179.58,2024-01-31
354,707,Credit Card,1225.08,2024-01-15
355,708,Bank Transfer,31.36,2025-12-12
356,710,Debit Card,85.96,2024-10-28
357,711,Debit Card,3082.62,2024-10-23
358,715,Credit Card,505.76,2023-10-06
359,717,PayPal,200.16,2025-08-10
360,718,PayPal,7210.89,2025-06-05
361,720,Credit Card,3442.08,2024-10-18
362,722,Credit Card,596.97,2025-11-11
363,723,Credit Card,483.8,2025-06-16
364,727,Debit Card,841.05,2025-05-13
365,728,Credit Card,625.84,2025-10-14
366,729,Credit Card,1034.55,2025-08-10
367,730,Debit Card,2588.46,2025-09-05
368,731,Debit Card,6484.8,2025-06-18
369,734,Debit Card,2647.44,2025-08-18
370,735,Debit Card,1862.55,2025-01-04
371,736,Bank Transfer,296.7,2025-10-06
372,737,Bank Transfer,1416.8,2025-03-06
373,738,Credit Card,565.53,2025-02-27
374,742,Credit Card,122.7,2024-06-20
375,750,Bank Transfer,1744.16,2025-11-24
376,751,Bank Transfer,180.18,2025-07-12
377,752,Bank Transfer,1088.96,2024-10-23
378,753,Bank Transfer,873.63,2024-03-21
379,755,Bank Transfer,3651.03,2025-06-08
380,757,Bank Transfer,589.8,2024-06-01
381,761,Bank Transfer,757.76,2025-05-06
382,764,Credit Card,679.49,2024-05-24
383,768,PayPal,4259.16,2025-04-15
384,773,Bank Transfer,5931.06,2023-12-26
385,774,Debit Card,145.25,2025-06-24
386,775,Credit Card,577.2,2024-09-20
387,778,Bank Transfer,67.48,2024-11-05
388,779,Debit Card,399.8,2025-02-02
389,785,Debit Card,2616.24,2024-12-25
390,786,Credit Card,131.25,2024-07-11
391,787,PayPal,23.98,2024-10-06
392,789,Debit Card,108.3,2024-05-30
393,790,PayPal,207.45,2024-06-08
394,791,Bank Transfer,646.32,2024-08-23
395,792,Debit Card,1231.05,2025-09-17
396,793,PayPal,52.32,2024-05-31
397,795,Bank Transfer,733.15,2024-12-19
398,796,Bank Transfer,44.2,2024-05-07
399,797,Credit Card,1057.15,2025-07-04
400,798,Debit Card,344.1,2024-12-06
401,799,Debit Card,156.46,2026-03-27
402,804,PayPal,688.2,2023-10-25
403,805,Debit Card,465.7,2024-11-03
404,808,PayPal,486.6,2025-01-12
405,809,PayPal,403.53,2025-07-14
406,811,Bank Transfer,1446.6,2025-09-25
407,814,Credit Card,341.16,2025-11-17
408,815,Bank Transfer,180.46,2025-12-25
409,816,PayPal,216.6,2025-02-27
410,817,PayPal,21.4,2025-07-17
411,819,PayPal,124.56,2024-12-02
412,820,Credit Card,1011.52,2023-09-25
413,821,Debit Card,19457.7,2025-05-09
414,822,PayPal,1480.01,2024-04-27
415,824,Bank Transfer,1193.94,2024-11-04
416,831,PayPal,1902.87,2024-03-15
417,832,PayPal,399.8,2024-05-11
418,833,Debit Card,6.0,2023-09-14
419,835,Credit Card,1416.8,2023-12-07
420,836,Debit Card,613.8,2025-11-02
421,840,Debit Card,86.98,2024-02-09
422,842,Credit Card,2202.81,2024-11-03
423,846,Debit Card,3451.28,2024-11-13
424,849,PayPal,442.0,2025-08-08
425,852,Debit Card,157.48,2025-07-15
426,856,PayPal,66.87,2023-10-30
427,857,PayPal,178.02,2025-03-18
428,859,PayPal,4539.36,2024-03-19
429,863,Credit Card,55.23,2023-11-10
430,866,Bank Transfer,122.92,2024-05-13
431,871,Bank Transfer,634.29,2025-05-24
432,872,Bank Transfer,2028.35,2024-10-30
433,876,Debit Card,4155.55,2025-03-30
434,877,Credit Card,695.84,2025-01-28
435,878,Credit Card,4056.7,2024-02-06
436,879,PayPal,26.28,2025-02-23
437,880,Bank Transfer,38.22,2024-12-15
438,881,Debit Card,194.64,2024-02-26
439,882,Debit Card,873.63,2024-06-27
440,883,PayPal,2844.12,2024-10-21
441,884,PayPal,344.4,2025-05-16
442,886,Credit Card,1721.04,2023-10-19
443,887,Debit Card,129.92,2024-05-30
444,888,Debit Card,438.7,2023-10-25
445,889,Debit Card,397.8,2024-04-12
446,890,Debit Card,694.26,2025-07-24
447,891,PayPal,121.8,2025-05-10
448,893,Debit Card,19.08,2024-04-21
449,894,Credit Card,196.2,2024-09-18
450,895,PayPal,142.88,2025-05-15
451,897,Bank Transfer,49.4,2025-02-27
452,900,Debit Card,161.7,2025-11-06
453,904,Credit Card,42.8,2024-08-31
454,908,Bank Transfer,414.9,2025-01-10
455,909,Credit Card,107.8,2024-05-06
456,913,PayPal,451.15,2024-04-02
457,915,PayPal,53.5,2025-11-29
458,917,Debit Card,9728.85,2025-03-07
459,919,Bank Transfer,312.27,2024-05-30
460,920,Debit Card,263.12,2025-04-05
461,921,PayPal,78.84,2025-06-06
462,922,PayPal,113.82,2025-05-19
463,923,Credit Card,340.62,2025-08-28
464,925,Bank Transfer,2893.2,2024-02-16
465,926,PayPal,244.56,2024-06-18
466,928,Bank Transfer,344.1,2025-06-22
467,936,PayPal,3982.5,2024-06-27
468,937,Credit Card,121.51,2024-01-13
469,940,Debit Card,170.87,2023-11-30
470,943,PayPal,680.6,2025-05-09
471,948,PayPal,19457.7,2024-06-17
472,949,Bank Transfer,368.1,2024-10-30
473,952,Debit Card,577.98,2025-04-08
474,953,Credit Card,1555.52,2024-12-05
475,955,Bank Transfer,87.8,2024-10-21
476,958,Credit Card,302.88,2024-07-20
477,959,Bank Transfer,128.94,2023-08-03
478,961,Debit Card,172.2,2024-07-24
479,962,Credit Card,306.9,2024-05-18
480,965,Bank Transfer,1717.48,2025-12-25
481,967,Credit Card,1217.01,2026-02-03
482,970,PayPal,952.21,2024-07-03
483,972,PayPal,42.98,2024-08-26
484,975,Bank Transfer,46.62,2025-07-24
485,976,Credit Card,222.9,2023-09-03
486,978,PayPal,17174.8,2026-03-15
487,980,Debit Card,94.72,2025-09-04
488,981,Credit Card,87.2,2025-01-20
489,982,Debit Card,337.56,2024-05-14
490,983,Credit Card,423.01,2024-12-21
491,984,PayPal,984.84,2025-08-14
492,985,Credit Card,738.63,2025-11-07
493,988,Credit Card,260.04,2025-11-13
494,989,Bank Transfer,404.22,2025-04-20
495,990,Credit Card,128.04,2025-03-23
496,993,Debit Card,121.51,2025-02-22
497,995,Credit Card,7104.12,2025-06-20
498,999,Bank Transfer,972.2,2024-10-18
499,1001,Bank Transfer,44.18,2025-06-28
500,1003,PayPal,12.35,2024-05-02
501,1004,Debit Card,131.85,2025-07-09
502,1005,Credit Card,29.4,2025-05-17
503,1006,Credit Card,1516.4,2024-12-31
504,1009,PayPal,100.08,2025-08-14
505,1012,Bank Transfer,5137.7,2025-07-04
506,1013,PayPal,129.9,2024-11-01
507,1014,Bank Transfer,477.9,2025-05-23
508,1018,Credit Card,142.88,2024-11-07
509,1019,Bank Transfer,161.58,2024-04-30
510,1020,PayPal,61.46,2025-12-30
511,1022,Credit Card,224.56,2024-10-10
512,1024,Credit Card,47.18,2025-01-17
513,1025,PayPal,123.5,2025-10-05
514,1026,Bank Transfer,24.7,2025-03-15
515,1028,Debit Card,448.8,2025-03-02
516,1029,Credit Card,1110.8,2025-05-16
517,1030,Debit Card,67.48,2023-12-05
518,1031,Credit Card,138.2,2024-11-02
519,1034,Credit Card,151.44,2024-07-11
520,1035,PayPal,408.02,2024-10-25
521,1037,Credit Card,1999.0,2023-07-26
522,1039,Bank Transfer,168.78,2025-03-27
523,1042,Credit Card,224.4,2025-04-23
524,1043,Debit Card,1167.8,2025-08-25
525,1050,Debit Card,776.56,2024-12-11
526,1056,PayPal,156.46,2024-10-20
527,1057,PayPal,949.08,2024-01-25
528,1059,Bank Transfer,9885.1,2024-09-29
529,1060,Bank Transfer,2937.08,2024-11-17
530,1061,Bank Transfer,547.61,2025-04-29
531,1066,Credit Card,92.19,2025-10-17
532,1067,Debit Card,77.59,2024-09-22
533,1071,PayPal,3263.61,2025-02-23
534,1074,Credit Card,1102.36,2024-04-08
535,1075,Bank Transfer,492.48,2024-03-24
536,1076,PayPal,562.6,2024-07-06
537,1077,Debit Card,138.2,2025-05-16
538,1078,PayPal,1381.05,2024-06-13
539,1080,Credit Card,102.25,2024-07-13
540,1081,Debit Card,613.8,2024-08-11
541,1091,Credit Card,340.74,2025-09-28
542,1093,Bank Transfer,3442.08,2024-04-01
543,1094,PayPal,19.08,2025-03-28
544,1096,Credit Card,114.05,2024-09-21
545,1098,Credit Card,1777.28,2025-07-04
546,1104,Debit Card,599.7,2024-07-13
547,1105,Debit Card,44.8,2024-05-14
548,1106,PayPal,107.16,2024-03-20
549,1109,Credit Card,366.84,2024-01-25
550,1112,Debit Card,1897.36,2025-11-23
551,1119,Debit Card,614.18,2024-10-30
552,1121,PayPal,820.8,2025-05-31
553,1122,Debit Card,486.04,2024-10-17
554,1126,Bank Transfer,345.75,2025-03-29
555,1127,Bank Transfer,3204.84,2025-05-29
556,1128,PayPal,145.14,2025-03-09
557,1129,Debit Card,95.58,2024-06-21
558,1130,Credit Card,205.29,2023-10-30
559,1132,Credit Card,1423.62,2025-01-08
560,1134,Bank Transfer,1423.62,2024-12-28
561,1136,Credit Card,52.5,2024-12-06
562,1137,Credit Card,495.36,2025-03-25
563,1145,Credit Card,412.92,2025-10-01
564,1146,Bank Transfer,223.51,2025-02-03
565,1147,Debit Card,83.93,2025-08-18
566,1149,Debit Card,280.35,2024-01-26
567,1154,Credit Card,246.24,2023-12-02
568,1159,Credit Card,291.21,2024-06-07
569,1160,Debit Card,553.2,2025-11-25
570,1166,Credit Card,47.34,2024-08-17
571,1168,PayPal,5187.84,2025-04-07
572,1169,PayPal,66.27,2024-11-22
573,1172,Bank Transfer,276.57,2025-08-08
574,1173,Debit Card,24.7,2024-09-10
575,1175,Bank Transfer,811.34,2025-11-24
576,1176,Credit Card,36.75,2024-08-09
577,1177,Bank Transfer,474.34,2024-03-14
578,1178,PayPal,1167.8,2025-01-23
579,1179,Credit Card,99.18,2026-02-15
580,1186,Credit Card,95.92,2025-07-07
581,1187,Credit Card,52.32,2024-09-16
582,1189,PayPal,2462.1,2025-05-28
583,1193,Bank Transfer,96.3,2025-05-22
584,1195,Credit Card,688.2,2025-06-08
585,1196,Debit Card,309.4,2026-02-23
586,1200,Debit Card,49.4,2023-10-27
587,1201,PayPal,192.85,2025-08-30
588,1202,Debit Card,122.28,2024-08-17
589,1205,PayPal,902.3,2024-10-11
590,1207,PayPal,23.98,2025-05-30
591,1210,Credit Card,625.84,2024-09-02
592,1212,Bank Transfer,88.36,2025-06-22
593,1213,Bank Transfer,78.84,2024-02-25
594,1214,Credit Card,688.1,2025-04-11
595,1215,Credit Card,484.74,2024-07-21
596,1217,PayPal,86.98,2024-11-24
597,1218,Bank Transfer,300.86,2024-08-17
598,1220,Bank Transfer,3321.78,2025-10-14
599,1221,Bank Transfer,138.3,2025-05-07
600,1224,PayPal,27.55,2024-05-19
601,1226,Bank Transfer,69.15,2024-11-02
602,1229,Debit Card,341.28,2024-07-30
603,1235,PayPal,103.8,2025-05-18
604,1236,Bank Transfer,161.36,2025-02-27
605,1237,Debit Card,344.4,2025-07-21
606,1238,Credit Card,16.87,2025-05-03
607,1240,PayPal,613.8,2024-05-11
608,1246,Credit Card,324.9,2025-09-18
609,1248,Credit Card,15984.27,2025-12-26
610,1250,PayPal,1555.52,2024-01-20
611,1252,Bank Transfer,65.01,2024-07-01
612,1255,PayPal,7744.68,2023-10-19
613,1257,Debit Card,227.52,2024-09-04
614,1258,Debit Card,227.52,2025-05-03
615,1259,PayPal,3792.16,2025-04-30
616,1261,Credit Card,1167.8,2025-04-08
617,1262,Bank Transfer,107.91,2025-05-07
618,1267,Bank Transfer,26.96,2025-05-13
619,1269,Debit Card,5720.4,2024-01-15
620,1271,PayPal,222.9,2024-11-22
621,1272,PayPal,243.6,2025-01-10
622,1273,Bank Transfer,816.18,2025-02-10
623,1277,Credit Card,232.4,2025-02-17
624,1278,Debit Card,415.17,2024-12-23
625,1280,PayPal,119.72,2023-11-30
626,1281,Debit Card,150.12,2025-01-11
627,1282,Debit Card,32.08,2024-11-28
628,1284,Debit Card,13620.39,2024-10-07
629,1285,Bank Transfer,135.84,2024-07-12
630,1286,Credit Card,176.8,2025-01-11
631,1287,PayPal,164.08,2024-12-01
632,1293,Debit Card,1081.44,2024-08-06
633,1294,PayPal,31.56,2025-05-27
634,1295,PayPal,15566.16,2024-10-06
635,1299,Bank Transfer,35.04,2025-02-11
636,1301,Debit Card,33.96,2024-07-01
637,1303,PayPal,323.16,2025-04-29
638,1307,Bank Transfer,128.94,2025-01-01
639,1308,Bank Transfer,123.5,2024-11-02
640,1309,PayPal,1318.03,2024-11-28
641,1310,PayPal,811.34,2024-12-05
