DiscountID,OrderID,DiscountAmount,DiscountCode
52,303,79.44,DISCOUNT-DsYI
53,318,21.31,DISCOUNT-jDGA
54,325,41.93,DISCOUNT-Vkah
55,332,34.1,DISCOUNT-Vxun
56,340,67.82,DISCOUNT-RdDz
57,346,60.47,DISCOUNT-cJri
58,348,15.94,DISCOUNT-bEjK
59,352,67.6,DISCOUNT-AdXn
60,353,49.62,DISCOUNT-GGgs
61,359,95.37,DISCOUNT-fqRK
62,376,72.58,DISCOUNT-YkUZ
63,378,25.18,DISCOUNT-eYBV
64,390,8.66,DISCOUNT-BMGq
65,392,41.62,DISCOUNT-pUri
66,408,96.97,DISCOUNT-FQYX
67,411,89.7,DISCOUNT-JPPN
68,420,97.04,DISCOUNT-YmSG
69,424,6.47,DISCOUNT-aJBW
70,428,89.27,DISCOUNT-VdNe
71,433,47.39,DISCOUNT-giaF
72,435,90.51,DISCOUNT-FnHi
73,443,51.78,DISCOUNT-vrWR
74,444,52.81,DISCOUNT-NgMB
75,452,34.32,DISCOUNT-Smfj
76,458,42.13,DISCOUNT-vHFR
77,460,77.54,DISCOUNT-SnGb
78,464,82.97,DISCOUNT-uIJj
79,467,31.94,DISCOUNT-KACg
80,471,47.12,DISCOUNT-tyDc
81,474,50.85,DISCOUNT-TNDg
82,476,40.68,DISCOUNT-wGft
83,485,6.79,DISCOUNT-zdtP
84,488,37.62,DISCOUNT-itLr
85,492,57.29,DISCOUNT-RvpH
86,495,77.67,DISCOUNT-xeYg
87,496,46.0,DISCOUNT-Hndm
88,502,86.52,DISCOUNT-upuA
89,504,80.17,DISCOUNT-sZVK
90,507,70.86,DISCOUNT-nfVM
91,512,52.79,DISCOUNT-sizq
92,521,38.07,DISCOUNT-TLZd
93,522,23.67,DISCOUNT-cMxn
94,524,92.63,DISCOUNT-bxFp
95,526,26.78,DISCOUNT-aNuM
96,527,72.23,DISCOUNT-XLUt
97,530,48.88,DISCOUNT-ERpg
98,532,20.06,DISCOUNT-KxpL
99,535,39.13,DISCOUNT-WSrP
100,537,76.58,DISCOUNT-qxhv
101,539,89.33,DISCOUNT-HLsw
102,543,81.82,DISCOUNT-oGzH
103,548,54.73,DISCOUNT-HEOw
104,555,88.35,DISCOUNT-Arrn
105,556,51.98,DISCOUNT-unIR
106,564,84.93,DISCOUNT-TpnK
107,565,42.34,DISCOUNT-ISaq
108,568,66.33,DISCOUNT-WKJn
109,569,86.12,DISCOUNT-DNMg
110,573,48.81,DISCOUNT-dYXU
111,574,8.82,DISCOUNT-ueGQ
112,593,14.23,DISCOUNT-MOxG
113,595,20.96,DISCOUNT-YNIz
114,597,37.67,DISCOUNT-DlvV
115,607,90.77,DISCOUNT-WTLG
116,608,20.0,DISCOUNT-rqzY
117,621,18.71,DISCOUNT-EQlD
118,622,75.57,DISCOUNT-LZLv
119,627,31.92,DISCOUNT-UFZd
120,634,19.43,DISCOUNT-XOYx
121,635,69.07,DISCOUNT-ORlD
122,647,89.99,DISCOUNT-QrOc
123,655,47.82,DISCOUNT-drCq
124,656,38.12,DISCOUNT-sqeI
125,658,40.07,DISCOUNT-EwbD
126,668,63.07,DISCOUNT-GSDC
127,678,33.1,DISCOUNT-yaps
128,682,32.27,DISCOUNT-ULqs
129,684,20.44,DISCOUNT-oKCq
130,685,17.51,DISCOUNT-WGYR
131,691,57.08,DISCOUNT-rsRj
132,708,91.0,DISCOUNT-UWcP
133,717,95.82,DISCOUNT-VKUg
134,721,25.22,DISCOUNT-sKEU
135,728,93.64,DISCOUNT-ukWF
136,737,92.23,DISCOUNT-ZfpL
137,743,47.15,DISCOUNT-INdy
138,760,11.15,DISCOUNT-zTMo
139,762,43.36,DISCOUNT-mumy
140,764,5.34,DISCOUNT-Qiqh
141,765,36.83,DISCOUNT-VQmY
142,771,63.4,DISCOUNT-Nocd
143,777,62.0,DISCOUNT-Adif
144,779,57.17,DISCOUNT-BAyD
145,780,50.83,DISCOUNT-lqIJ
146,783,27.76,DISCOUNT-dycB
147,785,50.91,DISCOUNT-wlMp
148,786,74.6,DISCOUNT-GfPg
149,788,34.46,DISCOUNT-RxKD
150,789,76.59,DISCOUNT-mqJy
151,791,86.93,DISCOUNT-UNfm
152,794,84.42,DISCOUNT-MsmU
153,801,20.1,DISCOUNT-PilA
154,806,76.05,DISCOUNT-HHhB
155,808,79.61,DISCOUNT-Bokx
156,811,74.45,DISCOUNT-mjxd
157,823,33.64,DISCOUNT-ZvNS
158,824,82.01,DISCOUNT-UBij
159,825,70.25,DISCOUNT-NmRG
160,827,20.6,DISCOUNT-sKjI
161,829,92.48,DISCOUNT-oYKB
162,830,26.45,DISCOUNT-sXEk
163,843,92.0,DISCOUNT-QkpN
164,846,24.81,DISCOUNT-rMmQ
165,855,81.39,DISCOUNT-aLmS
166,865,27.56,DISCOUNT-zOvE
167,866,96.72,DISCOUNT-HFMt
168,869,88.02,DISCOUNT-TOgV
169,872,83.09,DISCOUNT-DPKF
170,884,24.69,DISCOUNT-PFyC
171,886,17.14,DISCOUNT-Yuuu
172,890,35.32,DISCOUNT-avYP
173,891,23.58,DISCOUNT-nOFc
174,896,79.17,DISCOUNT-NFuG
175,898,92.77,DISCOUNT-intf
176,900,40.86,DISCOUNT-Lxko
177,906,16.66,DISCOUNT-BksA
178,913,82.45,DISCOUNT-osWR
179,915,5.86,DISCOUNT-WiVW
180,924,30.51,DISCOUNT-xxoi
181,927,39.07,DISCOUNT-LVYM
182,932,83.8,DISCOUNT-AyUh
183,934,57.45,DISCOUNT-fOur
184,936,22.58,DISCOUNT-DCIj
185,940,87.86,DISCOUNT-oAYI
186,941,74.97,DISCOUNT-snJp
187,947,52.18,DISCOUNT-kpfX
188,954,40.81,DISCOUNT-rNNU
189,966,66.06,DISCOUNT-aARP
190,969,87.06,DISCOUNT-Usdh
191,974,93.56,DISCOUNT-pIge
192,980,62.65,DISCOUNT-Htob
193,985,49.43,DISCOUNT-rNYr
194,991,51.08,DISCOUNT-Rlhg
195,994,26.27,DISCOUNT-dkZb
196,995,79.94,DISCOUNT-gDio
197,998,46.72,DISCOUNT-sTtE
198,1000,8.65,DISCOUNT-Bgqy
199,1004,8.35,DISCOUNT-PfkC
200,1005,43.49,DISCOUNT-aXRx
201,1011,72.57,DISCOUNT-Nbcf
202,1016,44.0,DISCOUNT-HrlR
203,1017,57.49,DISCOUNT-pRpn
204,1027,77.04,DISCOUNT-cWFW
205,1034,51.68,DISCOUNT-xngx
206,1036,55.94,DISCOUNT-IuOJ
207,1042,89.83,DISCOUNT-nayI
208,1047,96.68,DISCOUNT-dtDd
209,1049,53.56,DISCOUNT-abRS
210,1052,83.05,DISCOUNT-WAPO
211,1057,32.41,DISCOUNT-REpS
212,1061,67.29,DISCOUNT-EopD
213,1063,24.58,DISCOUNT-BYef
214,1071,38.06,DISCOUNT-XkOO
215,1074,19.34,DISCOUNT-BnHT
216,1079,94.89,DISCOUNT-hiXm
217,1088,93.5,DISCOUNT-qXCp
218,1094,86.04,DISCOUNT-wsyc
219,1095,93.21,DISCOUNT-arFF
220,1097,85.29,DISCOUNT-yoMe
221,1107,78.52,DISCOUNT-zDfy
222,1109,73.01,DISCOUNT-Qugj
223,1112,43.87,DISCOUNT-GsGD
224,1114,8.77,DISCOUNT-fAnj
225,1116,74.97,DISCOUNT-gOgB
226,1119,97.69,DISCOUNT-eeQq
227,1121,96.43,DISCOUNT-EKVc
228,1126,85.89,DISCOUNT-VRUc
229,1128,26.45,DISCOUNT-Pjyd
230,1137,71.54,DISCOUNT-drPY
231,1147,31.03,DISCOUNT-mBpJ
232,1159,78.47,DISCOUNT-fnsn
233,1160,87.96,DISCOUNT-QeNP
234,1161,82.89,DISCOUNT-Evtm
235,1162,35.61,DISCOUNT-TTaL
236,1165,11.85,DISCOUNT-CLbL
237,1167,77.33,DISCOUNT-eZob
238,1170,39.6,DISCOUNT-tvau
239,1171,89.37,DISCOUNT-zbmD
240,1176,36.19,DISCOUNT-QHof
241,1182,29.86,DISCOUNT-gskE
242,1184,72.52,DISCOUNT-GguF
243,1185,13.32,DISCOUNT-baRk
244,1206,62.2,DISCOUNT-AyEw
245,1230,95.08,DISCOUNT-fGdN
246,1235,63.98,DISCOUNT-tIGR
247,1237,51.09,DISCOUNT-bHuj
248,1238,74.22,DISCOUNT-xtvD
249,1240,63.8,DISCOUNT-PZBM
250,1246,28.31,DISCOUNT-YyUn
251,1249,90.65,DISCOUNT-uBuC
252,1251,53.51,DISCOUNT-vrLF
253,1253,57.29,DISCOUNT-ZLUq
254,1255,10.24,DISCOUNT-fOfh
255,1257,39.21,DISCOUNT-swJI
256,1263,64.0,DISCOUNT-LLwV
257,1270,94.3,DISCOUNT-oJbN
258,1278,27.01,DISCOUNT-nLhQ
259,1285,13.19,DISCOUNT-gLmV
260,1296,94.18,DISCOUNT-dwWi
261,1306,85.46,DISCOUNT-ratW
262,1308,10.02,DISCOUNT-fMhm
263,1309,16.07,DISCOUNT-SbGh
264,1319,47.93,DISCOUNT-NPPR
265,1325,30.47,DISCOUNT-wCBE
266,1338,27.71,DISCOUNT-kktl
267,1339,38.3,DISCOUNT-MYQc
268,1353,81.12,DISCOUNT-nVWT
269,1356,51.96,DISCOUNT-fwMj
270,1357,83.14,DISCOUNT-uQSc
271,1358,74.09,DISCOUNT-OZCB
272,1361,78.67,DISCOUNT-kVgr
273,1364,54.33,DISCOUNT-bejT
274,1367,7.12,DISCOUNT-lFkD
275,1372,36.19,DISCOUNT-whjD
276,1374,34.63,DISCOUNT-mVLR
277,1380,55.3,DISCOUNT-ftxn
278,1383,88.76,DISCOUNT-WUgH
279,1391,99.57,DISCOUNT-ZQUN
280,1399,18.47,DISCOUNT-adMW
281,1400,14.5,DISCOUNT-EIUc
282,1401,39.15,DISCOUNT-hlfB
283,1403,26.69,DISCOUNT-kyNm
284,1419,85.24,DISCOUNT-ptqY
285,1420,98.71,DISCOUNT-cXoq
286,1423,20.94,DISCOUNT-xOXW
287,1425,50.8,DISCOUNT-WoNj
288,1429,39.38,DISCOUNT-eLFT
289,1434,98.79,DISCOUNT-HrXF
290,1439,5.28,DISCOUNT-nUla
291,1440,90.57,DISCOUNT-dsQT
292,1441,41.59,DISCOUNT-prAU
293,1444,78.73,DISCOUNT-UdTY
294,1448,40.22,DISCOUNT-MkWD
295,1468,40.72,DISCOUNT-tSmb
296,1474,17.23,DISCOUNT-najT
297,1477,83.59,DISCOUNT-hQKU
298,1478,93.86,DISCOUNT-pEsW
299,1479,61.71,DISCOUNT-Whnd
300,1493,86.8,DISCOUNT-CWrQ
301,1506,84.76,DISCOUNT-mRiV
302,1508,64.32,DISCOUNT-ZODt
303,1518,61.49,DISCOUNT-ColI
304,1528,44.51,DISCOUNT-Apkr
305,1529,8.27,DISCOUNT-DAZG
306,1538,8.64,DISCOUNT-CsHE
307,1539,98.32,DISCOUNT-kTgI
308,1540,61.52,DISCOUNT-lrFm
309,1543,94.03,DISCOUNT-TsGE
310,1546,65.31,DISCOUNT-zpIY
311,1557,38.12,DISCOUNT-MTVJ
312,1562,61.59,DISCOUNT-hhsz
313,1564,15.36,DISCOUNT-qtRi
314,1576,82.35,DISCOUNT-MtmT
315,1577,46.9,DISCOUNT-mizI
316,1588,21.32,DISCOUNT-aWZx
317,1589,38.86,DISCOUNT-tmje
318,1594,31.7,DISCOUNT-cceF
319,1595,77.39,DISCOUNT-GQcA
320,1604,84.31,DISCOUNT-OQwU
321,1611,20.12,DISCOUNT-GbKV
322,1616,90.61,DISCOUNT-JfpM
323,1623,48.78,DISCOUNT-Rspa
324,1624,74.52,DISCOUNT-mmFZ
325,1625,91.78,DISCOUNT-RVbZ
326,1637,62.04,DISCOUNT-eUAM
327,1639,45.29,DISCOUNT-UweK
328,1641,74.35,DISCOUNT-RTEK
329,1644,43.79,DISCOUNT-xhAW
330,1646,83.64,DISCOUNT-pZSD
331,1648,33.25,DISCOUNT-wsuz
332,1653,53.24,DISCOUNT-SdxL
333,1663,33.71,DISCOUNT-lgRq
334,1667,21.26,DISCOUNT-ulGw
335,1671,18.31,DISCOUNT-EdWs
336,1680,19.1,DISCOUNT-EqUf
337,1688,93.74,DISCOUNT-hkUd
338,1689,59.25,DISCOUNT-shEp
339,1691,62.77,DISCOUNT-EBYV
340,1698,40.08,DISCOUNT-yBIa
341,1703,97.33,DISCOUNT-SJnx
342,1713,95.29,DISCOUNT-fUSi
343,1717,49.19,DISCOUNT-tgnJ
344,1718,90.94,DISCOUNT-CwIQ
345,1721,81.88,DISCOUNT-AuNf
346,1726,7.76,DISCOUNT-bhHK
347,1736,96.18,DISCOUNT-JVsJ
348,1738,69.1,DISCOUNT-aRES
349,1745,82.64,DISCOUNT-rHHx
350,1748,88.8,DISCOUNT-vYOH
351,1749,62.93,DISCOUNT-jIyb
352,1750,80.0,DISCOUNT-WKza
353,1753,22.37,DISCOUNT-bHaU
354,1755,59.87,DISCOUNT-sMEg
355,1761,25.68,DISCOUNT-nZbk
356,1765,96.19,DISCOUNT-mJrO
357,1774,84.45,DISCOUNT-FqfO
358,1777,45.54,DISCOUNT-UvQC
359,1779,46.43,DISCOUNT-OCAs
360,1783,86.28,DISCOUNT-VsqT
361,1803,21.62,DISCOUNT-aPQT
362,1804,75.04,DISCOUNT-nwqy
363,1805,15.39,DISCOUNT-iAJB
364,1807,84.14,DISCOUNT-ABgK
365,1810,65.16,DISCOUNT-QuMH
366,1811,78.39,DISCOUNT-mqai
367,1819,87.05,DISCOUNT-OMbd
368,1822,96.66,DISCOUNT-Yctu
369,1827,87.6,DISCOUNT-Tuby
370,1831,74.09,DISCOUNT-GFpK
371,1832,27.35,DISCOUNT-qRdv
372,1838,40.58,DISCOUNT-tyay
373,1847,29.75,DISCOUNT-daDO
374,1851,25.76,DISCOUNT-TzuS
375,1856,38.55,DISCOUNT-kklm
376,1857,7.96,DISCOUNT-XNlu
377,1863,55.96,DISCOUNT-fokz
378,1867,54.85,DISCOUNT-cVaY
379,1869,21.99,DISCOUNT-eoei
380,1870,20.78,DISCOUNT-aLNs
381,1871,82.57,DISCOUNT-mugY
382,1875,41.99,DISCOUNT-Muhv
383,1884,86.64,DISCOUNT-XlWA
384,1890,18.79,DISCOUNT-wmED
385,1896,27.07,DISCOUNT-jMrw
386,1903,35.58,DISCOUNT-EDYn
387,1906,87.69,DISCOUNT-OGsZ
388,1909,37.82,DISCOUNT-zngz
389,1917,70.59,DISCOUNT-Ilma
390,1919,22.15,DISCOUNT-OQPM
391,1925,26.06,DISCOUNT-edOU
392,1934,29.65,DISCOUNT-zPEf
393,1937,84.18,DISCOUNT-HgWE
394,1942,49.26,DISCOUNT-DdJh
395,1943,95.56,DISCOUNT-Vcka
396,1951,76.88,DISCOUNT-UPdL
397,1954,95.9,DISCOUNT-IEQh
398,1958,5.83,DISCOUNT-MUij
399,1960,21.82,DISCOUNT-GvNP
400,1967,50.35,DISCOUNT-wAAU
401,1976,55.05,DISCOUNT-rXEY
402,1977,80.98,DISCOUNT-bMXW
403,1978,36.0,DISCOUNT-ZKgX
404,1981,74.8,DISCOUNT-fxIp
405,1987,78.57,DISCOUNT-dnLV
406,1993,84.54,DISCOUNT-lTRi
407,1996,63.83,DISCOUNT-qezt
408,1998,76.41,DISCOUNT-nUsj
409,2009,54.67,DISCOUNT-bDGQ
410,2013,5.6,DISCOUNT-SiIn
411,2017,98.23,DISCOUNT-gwjD
412,2028,71.25,DISCOUNT-DCyQ
413,2030,72.12,DISCOUNT-mjjk
414,2045,86.73,DISCOUNT-oLuU
415,2047,46.74,DISCOUNT-WEay
416,2048,31.38,DISCOUNT-utxv
417,2062,33.72,DISCOUNT-JOjh
418,2063,50.49,DISCOUNT-nrXE
419,2065,78.36,DISCOUNT-kaHQ
420,2067,93.17,DISCOUNT-bEgH
421,2072,61.22,DISCOUNT-WBse
422,2075,29.96,DISCOUNT-mVfq
423,2084,6.49,DISCOUNT-UQah
424,2085,81.55,DISCOUNT-JGpw
425,2091,54.61,DISCOUNT-KgeX
426,2099,13.77,DISCOUNT-VRFn
427,2101,77.84,DISCOUNT-wESC
428,2104,82.76,DISCOUNT-aiMZ
429,2106,53.15,DISCOUNT-pOBj
430,2107,76.8,DISCOUNT-PfIK
431,2111,13.7,DISCOUNT-eMbM
432,2115,21.31,DISCOUNT-xIpR
433,2123,35.76,DISCOUNT-HCdE
434,2126,43.49,DISCOUNT-JafS
435,2129,71.28,DISCOUNT-KZGf
436,2133,24.86,DISCOUNT-mCVI
437,2134,85.82,DISCOUNT-ktZP
438,2135,39.02,DISCOUNT-Tjat
439,2141,50.34,DISCOUNT-bNOT
440,2142,41.6,DISCOUNT-pcmq
441,2144,23.88,DISCOUNT-VIka
442,2147,38.58,DISCOUNT-HpJL
443,2148,40.63,DISCOUNT-XIEJ
444,2149,62.5,DISCOUNT-TJME
445,2150,69.69,DISCOUNT-OxzO
446,2153,86.75,DISCOUNT-LKzw
447,2158,71.47,DISCOUNT-ftrY
448,2162,94.15,DISCOUNT-mnjv
449,2163,40.58,DISCOUNT-mURT
450,2166,44.84,DISCOUNT-eoix
451,2167,17.29,DISCOUNT-draG
452,2170,52.6,DISCOUNT-qXMC
453,2176,39.47,DISCOUNT-zydK
454,2177,72.22,DISCOUNT-cXcA
455,2186,10.62,DISCOUNT-hLxc
456,2189,40.83,DISCOUNT-FzZa
457,2193,87.17,DISCOUNT-UnoR
458,2199,66.22,DISCOUNT-vWNX
459,2206,70.25,DISCOUNT-hvKe
460,2213,87.93,DISCOUNT-dleY
461,2222,26.57,DISCOUNT-IacZ
462,2225,70.13,DISCOUNT-FYoO
463,2233,69.46,DISCOUNT-iVYD
464,2236,21.64,DISCOUNT-Wwcy
465,2240,89.41,DISCOUNT-iuNe
466,2245,16.91,DISCOUNT-GrWj
467,2246,49.26,DISCOUNT-XRZy
468,2248,28.3,DISCOUNT-ZoLU
469,2249,27.21,DISCOUNT-cYJb
470,2252,54.85,DISCOUNT-qlnW
471,2253,60.99,DISCOUNT-Nohu
472,2254,47.07,DISCOUNT-maiv
473,2255,38.82,DISCOUNT-XWTU
474,2260,46.95,DISCOUNT-ETxf
475,2261,13.91,DISCOUNT-ehyZ
476,2264,15.33,DISCOUNT-eOmJ
477,2265,34.06,DISCOUNT-KerN
478,2267,39.38,DISCOUNT-ydzS
479,2273,17.66,DISCOUNT-TShV
480,2275,50.17,DISCOUNT-dTZB
481,2277,17.14,DISCOUNT-ZZGg
482,2278,77.98,DISCOUNT-kvzP
483,2286,60.02,DISCOUNT-uQHe
484,2292,59.07,DISCOUNT-sPiJ
485,2304,16.45,DISCOUNT-uknH
486,2314,65.39,DISCOUNT-NLtz
487,2323,86.69,DISCOUNT-XXNp
488,2328,63.86,DISCOUNT-Ubsb
489,2331,42.77,DISCOUNT-BmON
490,2339,72.83,DISCOUNT-cuGT
491,2343,73.37,DISCOUNT-yXhz
492,2348,17.31,DISCOUNT-dlON
493,2349,33.36,DISCOUNT-gXyg
494,2350,49.0,DISCOUNT-rjSD
495,2361,75.42,DISCOUNT-kKDm
496,2366,22.36,DISCOUNT-iXal
497,2367,86.87,DISCOUNT-qpKv
498,2370,92.68,DISCOUNT-nmWF
499,2371,31.13,DISCOUNT-MYgE
500,2372,16.33,DISCOUNT-Sgtx
501,2384,20.83,DISCOUNT-fKRt
502,2387,67.78,DISCOUNT-SajA
503,2392,90.41,DISCOUNT-snyq
504,2395,58.76,DISCOUNT-JKIA
505,2398,72.72,DISCOUNT-uysQ
506,2401,96.99,DISCOUNT-XeGe
507,2404,37.92,DISCOUNT-uxxU
508,2411,74.0,DISCOUNT-JEQZ
509,2413,97.21,DISCOUNT-UIMM
510,2428,68.31,DISCOUNT-lJgO
511,2433,22.3,DISCOUNT-iuOa
512,2438,5.55,DISCOUNT-EIiV
513,2442,23.22,DISCOUNT-WmzK
514,2456,20.27,DISCOUNT-JCNa
515,2467,89.87,DISCOUNT-Wicp
516,2476,44.75,DISCOUNT-xGpm
517,2493,46.53,DISCOUNT-kTyH
518,2496,34.53,DISCOUNT-udYg
519,2500,25.87,DISCOUNT-KmUN
520,2503,66.69,DISCOUNT-AVWJ
521,2509,65.51,DISCOUNT-Binp
522,2533,26.98,DISCOUNT-HYHf
523,2544,17.21,DISCOUNT-Nzgl
524,2548,24.55,DISCOUNT-AvqS
525,2549,88.8,DISCOUNT-YBzr
526,2550,26.58,DISCOUNT-QpqC
527,2559,34.39,DISCOUNT-yygL
528,2563,28.5,DISCOUNT-wYZh
529,2566,48.98,DISCOUNT-HHya
530,2574,59.43,DISCOUNT-VMBI
531,2577,55.46,DISCOUNT-qRgj
532,2591,99.8,DISCOUNT-hSLK
533,2595,52.66,DISCOUNT-Gduf
534,2611,10.73,DISCOUNT-UCKW
535,2612,22.7,DISCOUNT-gKok
536,2613,13.34,DISCOUNT-OuuA
537,2616,47.55,DISCOUNT-GtBB
538,2619,88.92,DISCOUNT-wiTX
539,2620,32.83,DISCOUNT-vyFy
540,2621,41.82,DISCOUNT-PBVO
541,2624,57.58,DISCOUNT-xrqm
542,2626,98.7,DISCOUNT-TgcG
543,2628,97.35,DISCOUNT-qVXV
544,2630,82.11,DISCOUNT-ZLue
545,2637,47.74,DISCOUNT-ZmnU
546,2648,77.99,DISCOUNT-fNCa
547,2649,23.67,DISCOUNT-XXvu
548,2650,10.71,DISCOUNT-AcnH
549,2653,97.93,DISCOUNT-nhtv
550,2662,55.56,DISCOUNT-awqq
551,2666,48.61,DISCOUNT-dYAd
552,2667,50.23,DISCOUNT-qQAT
553,2668,77.33,DISCOUNT-JAyM
554,2673,43.22,DISCOUNT-uUdG
555,2676,29.77,DISCOUNT-jHnl
556,2687,62.24,DISCOUNT-lQlT
557,2688,15.88,DISCOUNT-HxOS
558,2691,47.37,DISCOUNT-FKLc
559,2703,52.56,DISCOUNT-VrtF
560,2705,67.37,DISCOUNT-SAsj
561,2710,94.2,DISCOUNT-oKzC
562,2713,96.39,DISCOUNT-Icta
563,2715,46.79,DISCOUNT-ciGl
564,2719,24.33,DISCOUNT-jUSY
565,2720,24.67,DISCOUNT-uhlj
566,2724,93.24,DISCOUNT-GMGE
567,2725,87.4,DISCOUNT-vcTy
568,2736,43.99,DISCOUNT-WSoK
569,2739,77.53,DISCOUNT-rLqE
570,2748,89.99,DISCOUNT-flIM
571,2752,60.49,DISCOUNT-FmGi
572,2758,76.2,DISCOUNT-dLMq
573,2767,8.81,DISCOUNT-zfmo
574,2771,25.28,DISCOUNT-DODR
575,2776,50.84,DISCOUNT-jBKy
576,2784,80.52,DISCOUNT-BHgH
577,2794,98.4,DISCOUNT-guEc
578,2797,57.8,DISCOUNT-ccwz
579,2800,80.18,DISCOUNT-ERgi
580,2801,47.14,DISCOUNT-Hoen
581,2802,56.93,DISCOUNT-ZEOZ
582,2807,85.57,DISCOUNT-dpQi
583,2815,54.66,DISCOUNT-Jqeg
584,2822,56.19,DISCOUNT-qeQf
585,2824,36.96,DISCOUNT-sbcB
586,2826,27.74,DISCOUNT-zsKx
587,2832,16.91,DISCOUNT-SLlQ
588,2846,72.94,DISCOUNT-tRQS
589,2862,11.38,DISCOUNT-kYbZ
590,2863,78.92,DISCOUNT-zDmV
591,2867,18.49,DISCOUNT-HagK
592,2868,26.69,DISCOUNT-kiWh
593,2874,44.55,DISCOUNT-EIbn
594,2876,59.36,DISCOUNT-tSLC
595,2878,68.41,DISCOUNT-TtpT
596,2880,57.15,DISCOUNT-uYFW
597,2882,7.72,DISCOUNT-OXtO
598,2908,15.33,DISCOUNT-taah
599,2911,96.07,DISCOUNT-ICnb
600,2916,56.71,DISCOUNT-LqUm
601,2920,20.17,DISCOUNT-BCKX
602,2925,81.04,DISCOUNT-qhmp
603,2927,92.2,DISCOUNT-MDuk
604,2933,67.64,DISCOUNT-qJeL
605,2937,30.61,DISCOUNT-dQas
606,2940,87.56,DISCOUNT-ngtW
607,2943,88.22,DISCOUNT-ZakW
608,2946,21.13,DISCOUNT-IUbY
609,2947,69.95,DISCOUNT-jkLq
610,2948,15.66,DISCOUNT-fVIi
611,2960,98.12,DISCOUNT-xjlS
612,2962,23.59,DISCOUNT-IBwt
613,2965,58.29,DISCOUNT-SVyt
614,2968,89.24,DISCOUNT-jtcH
615,2973,57.67,DISCOUNT-eHGi
616,2977,89.45,DISCOUNT-uJHV
617,2985,18.46,DISCOUNT-cINM
618,2986,77.1,DISCOUNT-wLVK
619,2992,14.37,DISCOUNT-MEdd
620,3001,82.63,DISCOUNT-ztyZ
621,3003,30.53,DISCOUNT-MCHA
622,3005,79.43,DISCOUNT-qreO
623,3011,36.06,DISCOUNT-Dnrv
624,3042,75.11,DISCOUNT-KKCv
625,3043,37.06,DISCOUNT-URuL
626,3045,57.22,DISCOUNT-ufGX
627,3048,15.08,DISCOUNT-Lbhj
628,3049,44.05,DISCOUNT-tFXC
629,3059,26.85,DISCOUNT-VHWN
630,3062,28.8,DISCOUNT-nlSp
631,3064,47.68,DISCOUNT-nlsb
632,3077,30.94,DISCOUNT-Pmnf
633,3078,48.12,DISCOUNT-nsOg
634,3088,14.2,DISCOUNT-rljP
635,3098,35.75,DISCOUNT-Djpm
636,3099,10.21,DISCOUNT-ecMl
637,3101,6.09,DISCOUNT-JJkf
638,3104,26.5,DISCOUNT-saKD
639,3111,38.2,DISCOUNT-wLWp
640,3115,96.28,DISCOUNT-Lors
641,3118,38.44,DISCOUNT-jUeX
642,3132,70.61,DISCOUNT-ALDf
643,3133,32.47,DISCOUNT-jBkI
644,3148,23.41,DISCOUNT-Krdv
645,3149,42.42,DISCOUNT-FzgT
646,3152,94.54,DISCOUNT-sebh
